iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","137,627,465.64","0.45","137,627,465.64","3,015,501.00","45.64","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","128,853,073.00","0.42","128,853,073.00","1,275,773.00","101.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","127,461,403.20","0.42","127,461,403.20","323,178.00","394.40","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","125,745,667.88","0.41","125,745,667.88","1,120,628.00","112.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","123,148,236.75","0.41","123,148,236.75","485,275.00","253.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","120,933,878.17","0.40","120,933,878.17","1,181,341.00","102.37","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","117,466,423.90","0.39","117,466,423.90","2,704,730.00","43.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","116,763,480.68","0.38","116,763,480.68","3,073,532.00","37.99","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","114,624,984.24","0.38","114,624,984.24","1,348,212.00","85.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","111,234,581.12","0.37","111,234,581.12","893,594.00","124.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","110,998,353.60","0.37","110,998,353.60","1,144,785.00","96.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","108,827,430.50","0.36","108,827,430.50","668,350.00","162.83","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","107,714,633.32","0.35","107,714,633.32","201,332.00","535.01","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","107,028,307.10","0.35","107,028,307.10","380,965.00","280.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","103,902,864.59","0.34","103,902,864.59","3,098,803.00","33.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","103,624,259.60","0.34","103,624,259.60","393,784.00","263.15","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","101,736,764.08","0.34","101,736,764.08","1,490,867.00","68.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","97,090,600.75","0.32","97,090,600.75","669,175.00","145.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","95,752,308.75","0.32","95,752,308.75","449,225.00","213.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","95,362,017.24","0.31","95,362,017.24","490,394.00","194.46","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","94,088,786.60","0.31","94,088,786.60","432,155.00","217.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","93,137,215.17","0.31","93,137,215.17","798,981.00","116.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","92,646,449.50","0.31","92,646,449.50","821,698.00","112.75","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","92,046,692.16","0.30","92,046,692.16","236,308.00","389.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
