iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","22,380,972.91","0.07","22,380,972.91","364,927.00","61.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","22,377,912.30","0.07","22,377,912.30","328,170.00","68.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","22,293,401.58","0.07","22,293,401.58","107,082.00","208.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","22,002,882.72","0.07","22,002,882.72","107,394.00","204.88","United States","NASDAQ","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","21,559,365.60","0.07","21,559,365.60","54,636.00","394.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","21,514,888.32","0.07","21,514,888.32","193,758.00","111.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","21,489,480.32","0.07","21,489,480.32","183,608.00","117.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SGEN","SEAGEN INC","Health Care","Equity","21,287,960.52","0.07","21,287,960.52","102,756.00","207.17","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","21,228,868.08","0.07","21,228,868.08","1,373,148.00","15.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","21,211,653.43","0.07","21,211,653.43","118,481.00","179.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","21,165,497.29","0.07","21,165,497.29","262,697.00","80.57","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","20,941,767.90","0.07","20,941,767.90","105,927.00","197.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","20,852,740.74","0.07","20,852,740.74","133,449.00","156.26","United States","NASDAQ","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","20,723,125.69","0.07","20,723,125.69","99,301.00","208.69","United States","NASDAQ","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","20,624,956.70","0.07","20,624,956.70","97,430.00","211.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","BLOCK INC CLASS A","Financials","Equity","20,461,203.75","0.07","20,461,203.75","399,243.00","51.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","20,225,175.81","0.07","20,225,175.81","199,479.00","101.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","20,198,000.24","0.07","20,198,000.24","233,018.00","86.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTV","FORTIVE CORP","Industrials","Equity","19,933,045.54","0.07","19,933,045.54","260,699.00","76.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANSS","ANSYS INC","Information Technology","Equity","19,904,239.04","0.07","19,904,239.04","63,812.00","311.92","United States","NASDAQ","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","19,895,489.64","0.07","19,895,489.64","299,676.00","66.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","19,868,543.76","0.07","19,868,543.76","56,472.00","351.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","19,841,399.64","0.07","19,841,399.64","143,342.00","138.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","19,779,218.40","0.07","19,779,218.40","277,720.00","71.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","19,683,745.02","0.06","19,683,745.02","588,981.00","33.42","United States","NASDAQ","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","19,539,169.92","0.06","19,539,169.92","45,648.00","428.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","19,532,987.40","0.06","19,532,987.40","154,289.00","126.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","19,052,646.66","0.06","19,052,646.66","189,522.00","100.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Health Care","Equity","19,040,087.95","0.06","19,040,087.95","165,035.00","115.37","United States","NASDAQ","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","19,028,391.48","0.06","19,028,391.48","287,091.00","66.28","United States","NASDAQ","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","18,996,164.28","0.06","18,996,164.28","104,386.00","181.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","18,915,781.50","0.06","18,915,781.50","200,167.00","94.50","United States","NASDAQ","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","18,911,355.19","0.06","18,911,355.19","154,973.00","122.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","18,833,535.16","0.06","18,833,535.16","1,615,226.00","11.66","United States","NASDAQ","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","18,400,099.20","0.06","18,400,099.20","56,560.00","325.32","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","18,368,602.58","0.06","18,368,602.58","472,322.00","38.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","18,254,364.30","0.06","18,254,364.30","160,605.00","113.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","18,147,035.33","0.06","18,147,035.33","15,989.00","1,134.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","17,922,556.17","0.06","17,922,556.17","227,069.00","78.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","17,896,267.20","0.06","17,896,267.20","221,160.00","80.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","17,608,085.40","0.06","17,608,085.40","161,468.00","109.05","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","17,602,074.49","0.06","17,602,074.49","557,557.00","31.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","17,502,026.15","0.06","17,502,026.15","89,777.00","194.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","17,489,651.92","0.06","17,489,651.92","542,483.00","32.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","17,326,061.30","0.06","17,326,061.30","48,595.00","356.54","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","17,305,526.16","0.06","17,305,526.16","633,438.00","27.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","17,270,376.75","0.06","17,270,376.75","130,097.00","132.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","17,235,617.49","0.06","17,235,617.49","121,953.00","141.33","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","17,202,708.52","0.06","17,202,708.52","391,772.00","43.91","United States","NASDAQ","USD","1.00","USD","-"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","17,153,546.85","0.06","17,153,546.85","180,279.00","95.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","17,143,307.09","0.06","17,143,307.09","275,483.00","62.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBS","HUBSPOT INC","Information Technology","Equity","17,086,693.54","0.06","17,086,693.54","33,481.00","510.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLTR","DOLLAR TREE INC","Consumer Staples","Equity","17,011,376.80","0.06","17,011,376.80","153,560.00","110.78","United States","NASDAQ","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","16,938,049.50","0.06","16,938,049.50","78,745.00","215.10","United States","NASDAQ","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","16,821,209.04","0.06","16,821,209.04","80,296.00","209.49","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","16,729,528.20","0.06","16,729,528.20","175,215.00","95.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","16,706,539.77","0.06","16,706,539.77","189,481.00","88.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","16,698,783.36","0.06","16,698,783.36","234,336.00","71.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","16,653,489.28","0.05","16,653,489.28","73,016.00","228.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","16,585,642.20","0.05","16,585,642.20","104,155.00","159.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","16,552,489.14","0.05","16,552,489.14","257,466.00","64.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","16,517,708.67","0.05","16,517,708.67","115,987.00","142.41","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","16,456,322.96","0.05","16,456,322.96","171,563.00","95.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","16,437,814.47","0.05","16,437,814.47","185,801.00","88.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","16,401,675.49","0.05","16,401,675.49","91,237.00","179.77","United States","NASDAQ","USD","1.00","USD","-"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financials","Equity","16,356,135.37","0.05","16,356,135.37","223,231.00","73.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","16,273,593.45","0.05","16,273,593.45","78,107.00","208.35","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","16,237,635.00","0.05","16,237,635.00","955,155.00","17.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","16,205,585.28","0.05","16,205,585.28","17,944.00","903.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","16,159,140.00","0.05","16,159,140.00","151,020.00","107.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrials","Equity","15,938,373.12","0.05","15,938,373.12","86,172.00","184.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICLR","ICON PLC","Health Care","Equity","15,711,762.72","0.05","15,711,762.72","59,736.00","263.02","United States","NASDAQ","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","15,670,173.60","0.05","15,670,173.60","86,280.00","181.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","15,572,873.35","0.05","15,572,873.35","106,627.00","146.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INVH","INVITATION HOMES INC","Real Estate","Equity","15,567,019.68","0.05","15,567,019.68","448,876.00","34.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","15,547,520.08","0.05","15,547,520.08","192,706.00","80.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRA","COTERRA ENERGY INC","Energy","Equity","15,483,439.80","0.05","15,483,439.80","554,962.00","27.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","15,414,500.01","0.05","15,414,500.01","33,279.00","463.19","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","15,359,262.15","0.05","15,359,262.15","121,235.00","126.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","15,324,235.30","0.05","15,324,235.30","155,135.00","98.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","15,311,918.70","0.05","15,311,918.70","103,410.00","148.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","15,119,258.63","0.05","15,119,258.63","37,067.00","407.89","United States","NASDAQ","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","14,932,638.84","0.05","14,932,638.84","139,349.00","107.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKL","MARKEL GROUP INC","Financials","Equity","14,881,453.28","0.05","14,881,453.28","9,694.00","1,535.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","14,865,919.20","0.05","14,865,919.20","186,010.00","79.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPNG","COUPANG INC CLASS A","Consumer Discretionary","Equity","14,857,091.00","0.05","14,857,091.00","803,086.00","18.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","14,751,152.22","0.05","14,751,152.22","102,774.00","143.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLT","FLEETCOR TECHNOLOGIES INC","Financials","Equity","14,668,073.89","0.05","14,668,073.89","53,321.00","275.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","14,662,074.27","0.05","14,662,074.27","398,751.00","36.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","14,506,786.26","0.05","14,506,786.26","374,562.00","38.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","14,445,443.34","0.05","14,445,443.34","34,389.00","420.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","14,237,009.28","0.05","14,237,009.28","126,754.00","112.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","14,130,387.94","0.05","14,130,387.94","164,959.00","85.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","14,127,382.36","0.05","14,127,382.36","130,676.00","108.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","14,092,651.50","0.05","14,092,651.50","57,171.00","246.50","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","13,971,154.20","0.05","13,971,154.20","544,260.00","25.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","13,924,596.00","0.05","13,924,596.00","42,324.00","329.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Financials","Equity","13,692,011.58","0.05","13,692,011.58","177,957.00","76.94","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","13,628,321.42","0.04","13,628,321.42","502,334.00","27.13","United States","NASDAQ","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","13,532,800.05","0.04","13,532,800.05","464,247.00","29.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","13,485,438.19","0.04","13,485,438.19","213,817.00","63.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPLK","SPLUNK INC","Information Technology","Equity","13,412,763.00","0.04","13,412,763.00","112,476.00","119.25","United States","NASDAQ","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","13,273,486.50","0.04","13,273,486.50","112,726.00","117.75","United States","NASDAQ","USD","1.00","USD","-"
"VRSN","VERISIGN INC","Information Technology","Equity","13,247,227.88","0.04","13,247,227.88","66,329.00","199.72","United States","NASDAQ","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","13,240,252.51","0.04","13,240,252.51","2,161.00","6,126.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","13,213,550.76","0.04","13,213,550.76","78,774.00","167.74","United States","NASDAQ","USD","1.00","USD","-"
"DRI","DARDEN RESTAURANTS INC","Consumer Discretionary","Equity","13,155,689.40","0.04","13,155,689.40","88,234.00","149.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","13,103,922.66","0.04","13,103,922.66","278,274.00","47.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LH","LABORATORY CORPORATION OF AMERICA","Health Care","Equity","13,076,251.17","0.04","13,076,251.17","65,001.00","201.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","13,050,446.36","0.04","13,050,446.36","184,772.00","70.63","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","13,023,290.32","0.04","13,023,290.32","211,006.00","61.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLX","CLOROX","Consumer Staples","Equity","13,013,954.60","0.04","13,013,954.60","91,198.00","142.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","12,938,706.12","0.04","12,938,706.12","296,148.00","43.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOLX","HOLOGIC INC","Health Care","Equity","12,807,576.00","0.04","12,807,576.00","177,883.00","72.00","United States","NASDAQ","USD","1.00","USD","-"
"BRO","BROWN & BROWN INC","Financials","Equity","12,797,698.26","0.04","12,797,698.26","174,522.00","73.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","12,772,601.90","0.04","12,772,601.90","250,345.00","51.02","United States","NASDAQ","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","12,700,788.60","0.04","12,700,788.60","188,439.00","67.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","12,664,805.28","0.04","12,664,805.28","435,516.00","29.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","12,548,566.29","0.04","12,548,566.29","39,191.00","320.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BG","BUNGE LTD","Consumer Staples","Equity","12,469,068.85","0.04","12,469,068.85","109,445.00","113.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","12,454,657.62","0.04","12,454,657.62","162,551.00","76.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","12,375,780.55","0.04","12,375,780.55","117,473.00","105.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"J","JACOBS SOLUTIONS INC","Industrials","Equity","12,337,370.98","0.04","12,337,370.98","92,609.00","133.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","12,325,815.36","0.04","12,325,815.36","1,690,784.00","7.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","12,318,784.00","0.04","12,318,784.00","113,600.00","108.44","United States","NASDAQ","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","12,252,078.20","0.04","12,252,078.20","688,319.00","17.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRO","MARATHON OIL CORP","Energy","Equity","12,253,219.00","0.04","12,253,219.00","455,510.00","26.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","12,243,368.20","0.04","12,243,368.20","138,187.00","88.60","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","12,210,967.00","0.04","12,210,967.00","106,646.00","114.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","12,169,981.71","0.04","12,169,981.71","213,471.00","57.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","12,119,484.87","0.04","12,119,484.87","159,111.00","76.17","United States","NASDAQ","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","12,082,840.55","0.04","12,082,840.55","112,871.00","107.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","12,080,129.54","0.04","12,080,129.54","114,406.00","105.59","United States","NASDAQ","USD","1.00","USD","-"
"COO","COOPER INC","Health Care","Equity","12,051,371.52","0.04","12,051,371.52","35,712.00","337.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","12,044,930.12","0.04","12,044,930.12","93,292.00","129.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","12,040,697.34","0.04","12,040,697.34","84,042.00","143.27","United States","NASDAQ","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","12,032,490.48","0.04","12,032,490.48","28,036.00","429.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EG","EVEREST GROUP LTD","Financials","Equity","12,022,709.23","0.04","12,022,709.23","31,279.00","384.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","12,014,587.04","0.04","12,014,587.04","30,794.00","390.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LVS","LAS VEGAS SANDS CORP","Consumer Discretionary","Equity","11,998,604.31","0.04","11,998,604.31","244,321.00","49.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","11,994,271.75","0.04","11,994,271.75","11,994,272.00","100.00","United States","-","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","11,851,107.40","0.04","11,851,107.40","78,122.00","151.70","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","11,800,252.16","0.04","11,800,252.16","145,216.00","81.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Industrials","Equity","11,775,449.28","0.04","11,775,449.28","60,592.00","194.34","United States","NASDAQ","USD","1.00","USD","-"
"IEX","IDEX CORP","Industrials","Equity","11,759,222.64","0.04","11,759,222.64","55,374.00","212.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","11,737,179.48","0.04","11,737,179.48","42,932.00","273.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","11,719,515.36","0.04","11,719,515.36","528,144.00","22.19","United States","NASDAQ","USD","1.00","USD","-"
"BALL","BALL CORP","Materials","Equity","11,673,906.84","0.04","11,673,906.84","226,854.00","51.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIVN","RIVIAN AUTOMOTIVE INC CLASS A","Consumer Discretionary","Equity","11,575,222.00","0.04","11,575,222.00","488,200.00","23.71","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","11,553,629.82","0.04","11,553,629.82","117,762.00","98.11","United States","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","11,508,740.00","0.04","11,508,740.00","116,840.00","98.50","United States","NASDAQ","USD","1.00","USD","-"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","11,506,816.86","0.04","11,506,816.86","84,821.00","135.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"K","KELLOGG","Consumer Staples","Equity","11,467,759.36","0.04","11,467,759.36","190,621.00","60.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","11,466,683.52","0.04","11,466,683.52","97,872.00","117.16","United States","NASDAQ","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","11,409,981.05","0.04","11,409,981.05","43,277.00","263.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","11,233,895.06","0.04","11,233,895.06","147,562.00","76.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUI","SUN COMMUNITIES REIT INC","Real Estate","Equity","11,228,638.85","0.04","11,228,638.85","90,415.00","124.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
